Title,Price,Teacher,Teacher title,Teacher desc
《从零开始学习微信运营》,299,刘岩,,"互联网从业者 创新工场旗下项目运营经理, 前百度竞价产品销售经理， 曾两次互联网创业经历，先后创建三人行视频教程网站和微电影平台， 两年微信运营经历，服务过多家企业提供网站搭建、SEO、网络推广等一系列网络营销整合方案；"
《零基础快速学习建站》,299,小强老师,,业内顶尖站长论坛V8站长网创始人； 丰富建站经历，门户站曾做到百度日收录8000以上，3个月新域名打造百度收录过20万，谷歌收录过50万的站点，并且百度指数800左右的数个相关关键词位居第一位； 曾任贞元网络项目总监、北京武总三院、上海解放军医院等多家公司机构技术顾问。
《手把手教你开个月赚2万的淘宝店》,299,龚琳,,《店铺推广深度优化指南》《手把手教你关联营销》《直通车个性化搜索推广优化》的作者， 《淘宝商学院》资深导师，八年实战经验， 2012淘宝《我是营销网》直通车决赛导师， 2013淘宝《搜索最强音》十强导师。  
《网络营销零基础系统实战课程》,299,秦星星,,曾任百度大客户部SEM部经理； 5年百度推广及培训经验； 为上百家企业提供百度推广解决方案； 创办了“智营销”系列培训及数十场针对百度中大型客户的投放策略培训；
《全网首套移动APP推广课程》,299,章鱼老师,,国内最大在线教育网站运营经理； 前赶集网运营经理； 前百度技术人才项目经理； 自媒体账号网站分析公会创始人； 虎嗅、钛媒体认证作者
《创业必备财务知识二十讲》,299,蔡丽煌,,曾任职国际四大会计师事务所、国内某大型公司的会计总监、事业部总经理； 畅销书《懂报表比会营销更重要》作者； 注册会计师； 中国会计职业大典修订专家委员会特聘专家； 全国商科会计职业大赛决赛评委； 厦门大学会计学硕士；
《seo―网站优化核心技术从零基础到精通》,299,刘岩,,"互联网从业者， 创新工场旗下项目运营经理, 前百度竞价产品销售经理， 曾两次互联网创业经历，先后创建三人行视频教程网站和微电影平台， 两年微信运营经历，服务过多家企业提供网站搭建、SEO、网络推广等一系列网络营销整合方案；"
《淘宝美工从零基础到精通》,299,六点木木,,卓瑞商学院创始人、首席讲师 ； 淘宝大学特邀讲师； 多年一线淘宝实战经验4钻淘宝卖家； 4年职业淘宝美工高级工程师 ； 曾指导卖家三个月销售额增长十倍； 曾服务的企业有：上海欢笑服饰、上海辽艺家纺、上海丝羽家纺、上海爱梦丝家纺、江西中鸭羽绒。
《网站数据分析入门》,299,章鱼老师,,国内最大在线教育网站运营经理； 前赶集网运营经理； 前百度技术人才项目经理； 自媒体账号网站分析公会创始人； 虎嗅、钛媒体认证作者；
《手把手教你做个赚钱的微商》,299,佟雨蒙Rimon,,前艺龙旅行网Marketing Coordinator ； 现多贝公开课产品经理； 微信公众号：燕理平台（ID：ylpt365），被评选为“自媒体商业化经典案例”之一。
《玩转AxureRP7.0 轻松掌握原型设计精髓》,299,宋会敏,,前搜狗输入法产品经理（负责ios8搜狗输入法和iPhone越狱输入法）； 搜狗新员工培训讲师； 中国电信用户体验中心，高级交互设计师；
《手把手教你做微博营销》,299,胡卫夕,,新浪微博资深员工，多本微博营销畅销书籍的作者； 每天面对杜蕾斯、黄太吉、小米等微博大号，最懂得如何用微博营销，最知道小企业、个体户运营微博时面临的问题，最了解微博粉丝的心理。
《手把手教你通过许可式邮件营销推广你的商品》,299,Taylor,,许可式邮件营销专家； 为上百家企业提供EDM咨询服务； 帮助数十家传统企业通过许可式邮件营销实现3到10倍的利润增长； 曾长期就职于业内top3邮件营销服务机构灵动创新； 互联网分析沙龙和移动新媒体邮件营销方面特邀撰稿人。
